2025-07-21 13:20:24,791 3055876 INFO [PRETRAINED] Using pretrained model path: ppo_pushing_sb3/final_model.zip
2025-07-21 13:20:24,792 3055876 INFO Starting with 7 interventions
2025-07-21 13:20:24,792 3055876 INFO ===final evaluation===
2025-07-21 13:20:36,855 3055876 INFO Final performance
2025-07-21 13:20:36,855 3055876 INFO average reward: 3.394 +/- 0.000
2025-07-21 13:20:36,855 3055876 INFO success rate: 1.000
2025-07-21 13:20:36,855 3055876 INFO average episode length: 501.0
2025-07-21 13:20:36,856 3055876 INFO initial performance: {'avg_reward': 3.393721938342554, 'reward_std': 4.440892098500626e-16, 'avg_length': 501.0, 'success_rate': 1.0, 'total_episodes': 10}
2025-07-21 13:20:36,856 3055876 INFO CURRICULUM STAGE 1/7
2025-07-21 13:20:36,856 3055876 INFO Remaining interventions: ['goal', 'mass', 'friction', 'visual', 'position', 'angle', 'random']
2025-07-21 13:20:36,856 3055876 INFO Randomly selected intervention: random
2025-07-21 13:20:36,856 3055876 INFO === stage 1/7: training on random intervention ===
Logging to random_sequencing_logs/sb3_csv_logs_1_random
IntervenedCausalWorld created with random intervention
Reset #1: random intervention applied (success: True)
Reset #2: random intervention applied (success: True)
Reset #3: random intervention applied (success: True)
------------------------------------
| custom/              |           |
|    clip_fraction        | 0.585       |
|    clip_range           | 0.2         |
|    entropy_loss         | -32.1       |
|    explained_variance   | 0.652       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.748      |
|    n_updates            | 2235        |
|    policy_gradient_loss | -0.105      |
|    std                  | 8.75        |
|    value_loss           | 0.0348      |
-----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | angle       |
|    stage                | 6           |
| rollout/                |             |
|    ep_len_mean          | 405         |
|    ep_rew_mean          | -0.61248785 |
| time/                   |             |
|    fps                  | 168         |
|    iterations           | 9           |
|    time_elapsed         | 218         |
|    total_timesteps      | 5349376     |
| train/                  |             |
|    approx_kl            | 0.06843732  |
|    clip_fraction        | 0.557       |
|    clip_range           | 0.2         |
|    entropy_loss         | -32.3       |
|    explained_variance   | 0.561       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.753      |
|    n_updates            | 2250        |
|    policy_gradient_loss | -0.102      |
|    std                  | 8.92        |
|    value_loss           | 0.0307      |
-----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | angle       |
|    stage                | 6           |
| rollout/                |             |
|    ep_len_mean          | 400         |
|    ep_rew_mean          | -0.75352156 |
| time/                   |             |
|    fps                  | 166         |
|    iterations           | 10          |
|    time_elapsed         | 245         |
|    total_timesteps      | 5353472     |
| train/                  |             |
|    approx_kl            | 0.06855832  |
|    clip_fraction        | 0.573       |
|    clip_range           | 0.2         |
|    entropy_loss         | -32.5       |
|    explained_variance   | 0.454       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.752      |
|    n_updates            | 2265        |
|    policy_gradient_loss | -0.103      |
|    std                  | 9.11        |
|    value_loss           | 0.0349      |
-----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | angle       |
|    stage                | 6           |
| rollout/                |             |
|    ep_len_mean          | 397         |
|    ep_rew_mean          | -0.88905394 |
| time/                   |             |
|    fps                  | 165         |
|    iterations           | 11          |
|    time_elapsed         | 272         |
|    total_timesteps      | 5357568     |
| train/                  |             |
|    approx_kl            | 0.06014102  |
|    clip_fraction        | 0.536       |
|    clip_range           | 0.2         |
|    entropy_loss         | -32.7       |
|    explained_variance   | 0.518       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.751      |
|    n_updates            | 2280        |
|    policy_gradient_loss | -0.0945     |
|    std                  | 9.28        |
|    value_loss           | 0.0362      |
-----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | angle       |
|    stage                | 6           |
| rollout/                |             |
|    ep_len_mean          | 407         |
|    ep_rew_mean          | -0.8960478  |
| time/                   |             |
|    fps                  | 164         |
|    iterations           | 12          |
|    time_elapsed         | 298         |
|    total_timesteps      | 5361664     |
| train/                  |             |
|    approx_kl            | 0.082773075 |
|    clip_fraction        | 0.563       |
|    clip_range           | 0.2         |
|    entropy_loss         | -32.9       |
|    explained_variance   | 0.663       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.762      |
|    n_updates            | 2295        |
|    policy_gradient_loss | -0.0985     |
|    std                  | 9.49        |
|    value_loss           | 0.0345      |
-----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | angle      |
|    stage                | 6          |
| rollout/                |            |
|    ep_len_mean          | 410        |
|    ep_rew_mean          | -0.8293714 |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 13         |
|    time_elapsed         | 325        |
|    total_timesteps      | 5365760    |
| train/                  |            |
|    approx_kl            | 0.06324199 |
|    clip_fraction        | 0.594      |
|    clip_range           | 0.2        |
|    entropy_loss         | -33        |
|    explained_variance   | 0.678      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.775     |
|    n_updates            | 2310       |
|    policy_gradient_loss | -0.109     |
|    std                  | 9.69       |
|    value_loss           | 0.0284     |
----------------------------------------
2025-07-21 13:53:59,571 3055876 INFO model saved to random_sequencing_logs/model_stage_6_angle
2025-07-21 13:53:59,573 3055876 INFO
Completed stage 6. Intervention 'angle' removed from list.
2025-07-21 13:53:59,573 3055876 INFO Remaining interventions: 1
2025-07-21 13:53:59,573 3055876 INFO CURRICULUM STAGE 7/7
2025-07-21 13:53:59,574 3055876 INFO Remaining interventions: ['mass']
2025-07-21 13:53:59,574 3055876 INFO Randomly selected intervention: mass
2025-07-21 13:53:59,574 3055876 INFO === stage 7/7: training on mass intervention ===
Logging to random_sequencing_logs/sb3_csv_logs_7_mass
IntervenedCausalWorld created with mass intervention
Reset #1: mass intervention applied (success: True)
Reset #2: mass intervention applied (success: True)
Reset #3: mass intervention applied (success: True)
--------------------------------------
| custom/              |             |
|    intervention_type | mass        |
|    stage             | 7           |
| rollout/             |             |
|    ep_len_mean       | 412         |
|    ep_rew_mean       | -0.73663026 |
| time/                |             |
|    fps               | 375         |
|    iterations        | 1           |
|    time_elapsed      | 10          |
|    total_timesteps   | 5369856     |
--------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | mass       |
|    stage                | 7          |
| rollout/                |            |
|    ep_len_mean          | 405        |
|    ep_rew_mean          | -0.5825683 |
| time/                   |            |
|    fps                  | 216        |
|    iterations           | 2          |
|    time_elapsed         | 37         |
|    total_timesteps      | 5373952    |
| train/                  |            |
|    approx_kl            | 0.06618215 |
|    clip_fraction        | 0.567      |
|    clip_range           | 0.2        |
|    entropy_loss         | -33.4      |
|    explained_variance   | 0.661      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.78      |
|    n_updates            | 2340       |
|    policy_gradient_loss | -0.106     |
|    std                  | 10         |
|    value_loss           | 0.0282     |
----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | mass        |
|    stage                | 7           |
| rollout/                |             |
|    ep_len_mean          | 408         |
|    ep_rew_mean          | -0.31533822 |
| time/                   |             |
|    fps                  | 190         |
|    iterations           | 3           |
|    time_elapsed         | 64          |
|    total_timesteps      | 5378048     |
| train/                  |             |
|    approx_kl            | 0.059855245 |
|    clip_fraction        | 0.556       |
|    clip_range           | 0.2         |
|    entropy_loss         | -33.5       |
|    explained_variance   | 0.498       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.777      |
|    n_updates            | 2355        |
|    policy_gradient_loss | -0.104      |
|    std                  | 10.2        |
|    value_loss           | 0.0256      |
-----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | mass        |
|    stage                | 7           |
| rollout/                |             |
|    ep_len_mean          | 401         |
|    ep_rew_mean          | -0.11588814 |
| time/                   |             |
|    fps                  | 179         |
|    iterations           | 4           |
|    time_elapsed         | 91          |
|    total_timesteps      | 5382144     |
| train/                  |             |
|    approx_kl            | 0.06446722  |
|    clip_fraction        | 0.569       |
|    clip_range           | 0.2         |
|    entropy_loss         | -33.6       |
|    explained_variance   | 0.749       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.786      |
|    n_updates            | 2370        |
|    policy_gradient_loss | -0.105      |
|    std                  | 10.4        |
|    value_loss           | 0.0305      |
-----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | mass       |
|    stage                | 7          |
| rollout/                |            |
|    ep_len_mean          | 401        |
|    ep_rew_mean          | 0.07310453 |
| time/                   |            |
|    fps                  | 173        |
|    iterations           | 5          |
|    time_elapsed         | 117        |
|    total_timesteps      | 5386240    |
| train/                  |            |
|    approx_kl            | 0.0651387  |
|    clip_fraction        | 0.567      |
|    clip_range           | 0.2        |
|    entropy_loss         | -33.8      |
|    explained_variance   | 0.676      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.783     |
|    n_updates            | 2385       |
|    policy_gradient_loss | -0.101     |
|    std                  | 10.6       |
|    value_loss           | 0.0352     |
----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | mass        |
|    stage                | 7           |
| rollout/                |             |
|    ep_len_mean          | 395         |
|    ep_rew_mean          | 0.2942125   |
| time/                   |             |
|    fps                  | 168         |
|    iterations           | 6           |
|    time_elapsed         | 145         |
|    total_timesteps      | 5390336     |
| train/                  |             |
|    approx_kl            | 0.053692017 |
|    clip_fraction        | 0.527       |
|    clip_range           | 0.2         |
|    entropy_loss         | -34         |
|    explained_variance   | 0.472       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.783      |
|    n_updates            | 2400        |
|    policy_gradient_loss | -0.101      |
|    std                  | 10.7        |
|    value_loss           | 0.0238      |
-----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | mass       |
|    stage                | 7          |
| rollout/                |            |
|    ep_len_mean          | 395        |
|    ep_rew_mean          | 0.49588093 |
| time/                   |            |
|    fps                  | 166        |
|    iterations           | 7          |
|    time_elapsed         | 172        |
|    total_timesteps      | 5394432    |
| train/                  |            |
|    approx_kl            | 0.05862636 |
|    clip_fraction        | 0.544      |
|    clip_range           | 0.2        |
|    entropy_loss         | -34.1      |
|    explained_variance   | 0.417      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.786     |
|    n_updates            | 2415       |
|    policy_gradient_loss | -0.0963    |
|    std                  | 10.9       |
|    value_loss           | 0.0322     |
----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | mass       |
|    stage                | 7          |
| rollout/                |            |
|    ep_len_mean          | 373        |
|    ep_rew_mean          | 0.6561797  |
| time/                   |            |
|    fps                  | 165        |
|    iterations           | 8          |
|    time_elapsed         | 198        |
|    total_timesteps      | 5398528    |
| train/                  |            |
|    approx_kl            | 0.18560204 |
|    clip_fraction        | 0.525      |
|    clip_range           | 0.2        |
|    entropy_loss         | -34.3      |
|    explained_variance   | 0.68       |
|    learning_rate        | 0.00025    |
|    loss                 | -0.758     |
|    n_updates            | 2430       |
|    policy_gradient_loss | -0.0854    |
|    std                  | 11.1       |
|    value_loss           | 0.0335     |
----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | mass       |
|    stage                | 7          |
| rollout/                |            |
|    ep_len_mean          | 356        |
|    ep_rew_mean          | 0.93185127 |
| time/                   |            |
|    fps                  | 163        |
|    iterations           | 9          |
|    time_elapsed         | 225        |
|    total_timesteps      | 5402624    |
| train/                  |            |
|    approx_kl            | 0.06546967 |
|    clip_fraction        | 0.593      |
|    clip_range           | 0.2        |
|    entropy_loss         | -34.4      |
|    explained_variance   | 0.352      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.812     |
|    n_updates            | 2445       |
|    policy_gradient_loss | -0.11      |
|    std                  | 11.3       |
|    value_loss           | 0.0302     |
----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | mass        |
|    stage                | 7           |
| rollout/                |             |
|    ep_len_mean          | 362         |
|    ep_rew_mean          | 0.9494477   |
| time/                   |             |
|    fps                  | 162         |
|    iterations           | 10          |
|    time_elapsed         | 251         |
|    total_timesteps      | 5406720     |
| train/                  |             |
|    approx_kl            | 0.058537237 |
|    clip_fraction        | 0.564       |
|    clip_range           | 0.2         |
|    entropy_loss         | -34.5       |
|    explained_variance   | 0.611       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.8        |
|    n_updates            | 2460        |
|    policy_gradient_loss | -0.109      |
|    std                  | 11.4        |
|    value_loss           | 0.0311      |
-----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | mass       |
|    stage                | 7          |
| rollout/                |            |
|    ep_len_mean          | 365        |
|    ep_rew_mean          | 1.0032746  |
| time/                   |            |
|    fps                  | 162        |
|    iterations           | 11         |
|    time_elapsed         | 277        |
|    total_timesteps      | 5410816    |
| train/                  |            |
|    approx_kl            | 0.05797255 |
|    clip_fraction        | 0.567      |
|    clip_range           | 0.2        |
|    entropy_loss         | -34.7      |
|    explained_variance   | 0.582      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.811     |
|    n_updates            | 2475       |
|    policy_gradient_loss | -0.109     |
|    std                  | 11.6       |
|    value_loss           | 0.0206     |
----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | mass        |
|    stage                | 7           |
| rollout/                |             |
|    ep_len_mean          | 337         |
|    ep_rew_mean          | 0.9343191   |
| time/                   |             |
|    fps                  | 161         |
|    iterations           | 12          |
|    time_elapsed         | 304         |
|    total_timesteps      | 5414912     |
| train/                  |             |
|    approx_kl            | 0.058604572 |
|    clip_fraction        | 0.575       |
|    clip_range           | 0.2         |
|    entropy_loss         | -34.8       |
|    explained_variance   | 0.58        |
|    learning_rate        | 0.00025     |
|    loss                 | -0.822      |
|    n_updates            | 2490        |
|    policy_gradient_loss | -0.112      |
|    std                  | 11.9        |
|    value_loss           | 0.0277      |
-----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | mass        |
|    stage                | 7           |
| rollout/                |             |
|    ep_len_mean          | 344         |
|    ep_rew_mean          | 1.0368744   |
| time/                   |             |
|    fps                  | 160         |
|    iterations           | 13          |
|    time_elapsed         | 330         |
|    total_timesteps      | 5419008     |
| train/                  |             |
|    approx_kl            | 0.066571936 |
|    clip_fraction        | 0.599       |
|    clip_range           | 0.2         |
|    entropy_loss         | -35         |
|    explained_variance   | 0.529       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.806      |
|    n_updates            | 2505        |
|    policy_gradient_loss | -0.11       |
|    std                  | 12.1        |
|    value_loss           | 0.0472      |
-----------------------------------------
2025-07-21 13:59:44,881 3055876 INFO model saved to random_sequencing_logs/model_stage_7_mass
2025-07-21 13:59:44,883 3055876 INFO
Completed stage 7. Intervention 'mass' removed from list.
2025-07-21 13:59:44,883 3055876 INFO Remaining interventions: 0
Aggregated SB3 progress saved to random_sequencing_logs/all_progress.csv
2025-07-21 13:59:52,244 3055876 INFO SB3 training curves saved to random_sequencing_logs/plots/training_curves_sb3.png
2025-07-21 13:59:52,244 3055876 INFO ===final evaluation===
2025-07-21 14:00:08,563 3055876 INFO episode 16: reward=-1.568, length=501, success=False
2025-07-21 14:00:09,542 3055876 INFO episode 17: reward=-1.568, length=501, success=False
2025-07-21 14:00:10,562 3055876 INFO episode 18: reward=-1.568, length=501, success=False
2025-07-21 14:00:11,638 3055876 INFO episode 19: reward=-1.568, length=501, success=False
2025-07-21 14:00:12,715 3055876 INFO episode 20: reward=-1.568, length=501, success=False
2025-07-21 14:00:12,716 3055876 INFO Final performance
2025-07-21 14:00:12,716 3055876 INFO average reward: -1.568 +/- 0.000
2025-07-21 14:00:12,716 3055876 INFO success rate: 0.000
2025-07-21 14:00:12,717 3055876 INFO average episode length: 501.0
2025-07-21 14:00:12,717 3055876 INFO curriculum sequencing completed
2025-07-21 14:00:12,717 3055876 INFO sequence order:
2025-07-21 14:00:12,717 3055876 INFO 1. random (test_reward: None)
2025-07-21 14:00:12,717 3055876 INFO 2. visual (test_reward: None)
2025-07-21 14:00:12,717 3055876 INFO 3. position (test_reward: None)
2025-07-21 14:00:12,717 3055876 INFO 4. goal (test_reward: None)
2025-07-21 14:00:12,717 3055876 INFO 5. friction (test_reward: None)
2025-07-21 14:00:12,717 3055876 INFO 6. angle (test_reward: None)
2025-07-21 14:00:12,718 3055876 INFO 7. mass (test_reward: None)
2025-07-21 14:00:12,718 3055876 INFO
performance comparison
2025-07-21 14:00:12,718 3055876 INFO initial: 3.394 reward, 1.000 success
2025-07-21 14:00:12,718 3055876 INFO final: -1.568 reward, 0.000 success
2025-07-21 14:00:12,718 3055876 INFO improvement: -4.962 reward
2025-07-21 14:00:12,732 3055876 INFO Final model saved to random_sequencing_logs/final_model_after_sequencing.zip
2025-07-21 14:00:12,732 3055876 INFO results saved to random_sequencing_logs/sequencing_results.json
