Logging to autocalc_pushing/autocalc_curriculum_1
/home/kpatherya3/anaconda3/envs/causal_env/lib/python3.7/site-packages/stable_baselines3/common/callbacks.py:337: UserWarning: Training and eval env are not of the same type<stable_baselines3.common.vec_env.vec_monitor.VecMonitor object at 0x7f38c16935d0> != <stable_baselines3.common.vec_env.dummy_vec_env.DummyVecEnv object at 0x7f38bc741f10>
  warnings.warn("Training and eval env are not of the same type" f"{self.training_env} != {self.eval_env}")
-----------------------------------
| rollout/           |            |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.4056535   |
| time/                   |             |
|    fps                  | 897         |
|    iterations           | 172         |
|    time_elapsed         | 785         |
|    total_timesteps      | 704512      |
| train/                  |             |
|    approx_kl            | 0.014299752 |
|    clip_fraction        | 0.182       |
|    clip_range           | 0.2         |
|    entropy_loss         | -29.9       |
|    explained_variance   | 0.548       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.612      |
|    n_updates            | 3720        |
|    policy_gradient_loss | -0.0313     |
|    std                  | 6.73        |
|    value_loss           | 0.101       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.4785424   |
| time/                   |             |
|    fps                  | 897         |
|    iterations           | 173         |
|    time_elapsed         | 789         |
|    total_timesteps      | 708608      |
| train/                  |             |
|    approx_kl            | 0.015581828 |
|    clip_fraction        | 0.178       |
|    clip_range           | 0.2         |
|    entropy_loss         | -29.9       |
|    explained_variance   | 0.627       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.614      |
|    n_updates            | 3735        |
|    policy_gradient_loss | -0.0284     |
|    std                  | 6.79        |
|    value_loss           | 0.137       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.4937497   |
| time/                   |             |
|    fps                  | 896         |
|    iterations           | 174         |
|    time_elapsed         | 795         |
|    total_timesteps      | 712704      |
| train/                  |             |
|    approx_kl            | 0.010658676 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.2         |
|    entropy_loss         | -30         |
|    explained_variance   | 0.803       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.592      |
|    n_updates            | 3750        |
|    policy_gradient_loss | -0.028      |
|    std                  | 6.82        |
|    value_loss           | 0.0827      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.6621784   |
| time/                   |             |
|    fps                  | 894         |
|    iterations           | 175         |
|    time_elapsed         | 801         |
|    total_timesteps      | 716800      |
| train/                  |             |
|    approx_kl            | 0.014483605 |
|    clip_fraction        | 0.171       |
|    clip_range           | 0.2         |
|    entropy_loss         | -30         |
|    explained_variance   | 0.743       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.611      |
|    n_updates            | 3765        |
|    policy_gradient_loss | -0.026      |
|    std                  | 6.86        |
|    value_loss           | 0.116       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.6334263   |
| time/                   |             |
|    fps                  | 893         |
|    iterations           | 176         |
|    time_elapsed         | 806         |
|    total_timesteps      | 720896      |
| train/                  |             |
|    approx_kl            | 0.014707848 |
|    clip_fraction        | 0.172       |
|    clip_range           | 0.2         |
|    entropy_loss         | -30.1       |
|    explained_variance   | 0.709       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.577      |
|    n_updates            | 3780        |
|    policy_gradient_loss | -0.024      |
|    std                  | 6.88        |
|    value_loss           | 0.144       |
-----------------------------------------
---------------------------------------
| rollout/                |           |
